A/C,N,UO,RO,R,U,O,RU
housedust NR,0.31147541,0,0.032786885,0.131147541,0.295081967,0.229508197,0
housedust HR,0.129411765,0,0.264705882,0.164705882,0.170588235,0.082352941,0.188235294
housedust LR,0.129032258,0.290322581,0.016129032,0.120967742,0.137096774,0.201612903,0.10483871
housedust MR,0.125364431,0.186588921,0.145772595,0.142857143,0.104956268,0.137026239,0.157434402
cottondust NR,0.068181818,0,0.159090909,0.159090909,0.272727273,0.340909091,0
cottondust HR,0.047169811,0,0.216981132,0.160377358,0.179245283,0.056603774,0.339622642
cottondust LR,0.140186916,0.299065421,0.093457944,0.102803738,0.093457944,0.196261682,0.074766355
cottondust MR,0.185628743,0.107784431,0.146706587,0.161676647,0.146706587,0.110778443,0.140718563
aspergilus NR,0.208816705,0.034802784,0.143851508,0.136890951,0.134570766,0.167053364,0.174013921
aspergilus HR,0,0,0,0.083333333,0.083333333,0.166666667,0.666666667
aspergilus LR,0.02238806,0.350746269,0.097014925,0.179104478,0.186567164,0.119402985,0.044776119
aspergilus MR,0.05785124,0.314049587,0.198347107,0.132231405,0.132231405,0.082644628,0.082644628
pollen NR,0.283018868,0.150943396,0.113207547,0.132075472,0.132075472,0.188679245,0
pollen HR,0,0,0.120689655,0.25862069,0.275862069,0.120689655,0.224137931
pollen LR,0.143712575,0.149700599,0.149700599,0.119760479,0.131736527,0.191616766,0.113772455
pollen MR,0.125340599,0.160762943,0.14986376,0.138964578,0.130790191,0.111716621,0.182561308
parthenium NR,0.029411765,0.225490196,0.107843137,0.147058824,0.117647059,0.166666667,0.205882353
parthenium HR,0.224489796,0,0,0.224489796,0.224489796,0.081632653,0.244897959
parthenium LR,0.214765101,0.11409396,0.026845638,0.140939597,0.181208054,0.248322148,0.073825503
parthenium MR,0.135678392,0.150753769,0.211055276,0.133165829,0.125628141,0.105527638,0.138190955
cockroach NR,0.106666667,0,0.24,0.173333333,0.2,0.2,0.08
cockroach HR,0.111111111,0.316666667,0.127777778,0.122222222,0.094444444,0.072222222,0.155555556
cockroach LR,0.179487179,0.179487179,0.017094017,0.136752137,0.170940171,0.256410256,0.05982906
