A/C,O,U,RO,RU,N,UO,R
housedust NR,0.368421053,0.328947368,0.013157895,0,0.065789474,0,0.223684211
housedust MR,0.26006192,0.247678019,0.037151703,0.027863777,0.024767802,0.009287926,0.393188854
housedust LR,0.328467153,0.284671533,0.00729927,0.01459854,0.02189781,0.01459854,0.328467153
housedust HR,0.157575758,0.266666667,0.048484848,0.042424242,0.018181818,0,0.466666667
cottondust NR,0.375,0.263888889,0.027777778,0,0.013888889,0,0.319444444
cottondust MR,0.205202312,0.294797688,0.031791908,0.026011561,0.037572254,0.005780347,0.398843931
cottondust LR,0.390625,0.234375,0.015625,0.015625,0.020833333,0.015625,0.307291667
cottondust HR,0.10989011,0.241758242,0.065934066,0.065934066,0.010989011,0,0.505494505
aspergilus MR,0.239583333,0.291666667,0.052083333,0.020833333,0.010416667,0.020833333,0.364583333
aspergilus NR,0.281179138,0.253968254,0.031746032,0.027210884,0.038548753,0.002267574,0.365079365
aspergilus LR,0.222222222,0.291666667,0.020833333,0.013888889,0.006944444,0.013888889,0.430555556
aspergilus HR,0.2,0.3,0,0.1,0,0,0.4
pollen NR,0.315217391,0.239130435,0.032608696,0,0.065217391,0.010869565,0.336956522
pollen MR,0.240687679,0.263610315,0.037249284,0.034383954,0.025787966,0.008595989,0.389684814
pollen LR,0.32972973,0.248648649,0.027027027,0.016216216,0.021621622,0.005405405,0.351351351
pollen HR,0.12,0.373333333,0.013333333,0.04,0,0,0.453333333
parthenium MR,0.227146814,0.268698061,0.047091413,0.027700831,0.022160665,0.008310249,0.398891967
parthenium NR,0.30952381,0.261904762,0.035714286,0.035714286,0.011904762,0.011904762,0.333333333
parthenium LR,0.360215054,0.247311828,0.010752688,0.016129032,0.037634409,0.005376344,0.322580645
parthenium HR,0.114285714,0.328571429,0,0.028571429,0.042857143,0,0.485714286
cockroach NR,0.357894737,0.231578947,0.052631579,0.010526316,0.021052632,0,0.326315789
cockroach MR,0.246753247,0.282467532,0.035714286,0.032467532,0.032467532,0.003246753,0.366883117
cockroach LR,0.30994152,0.286549708,0.011695906,0.011695906,0.01754386,0.005847953,0.356725146
cockroach HR,0.157480315,0.236220472,0.031496063,0.039370079,0.031496063,0.023622047,0.480314961
catdander KR,0.261560694,0.26734104,0.031791908,0.026011561,0.027456647,0.007225434,0.378612717
catdander NR,0.5,0,0,0,0,0,0.5
catdander LR,0,0.6,0,0,0,0,0.4
dosfur KR,0.258928571,0.266369048,0.032738095,0.023809524,0.026785714,0.007440476,0.383928571
dosfur NR,0.294117647,0.352941176,0,0,0.058823529,0,0.294117647
dosfur LR,0.4,0.1,0,0.2,0,0,0.3
dosfur MR,0,1,0,0,0,0,0
roaddust KR,0.261055635,0.268188302,0.031383738,0.025677603,0.027104137,0.007132668,0.379457917
oldpdust KR,0.259365994,0.268011527,0.031700288,0.025936599,0.027377522,0.007204611,0.380403458
oldpdust NR,0.5,0.25,0,0,0,0,0.25
oldpdust LR,0.5,0.5,0,0,0,0,0
oldpdust MR,0,0,0,0,0,0,1
PSdust KR,0.264069264,0.265512266,0.031746032,0.025974026,0.027417027,0.007215007,0.378066378
PSdust NR,0,0.333333333,0,0,0,0,0.666666667
PSdust LR,0,1,0,0,0,0,0
PSdust MR,0,0,0,0,0,0,1
MilkP KR,0.189189189,0.351351351,0.081081081,0,0,0,0.378378378
MilkP LR,0.307692308,0.184615385,0.046153846,0.015384615,0,0.015384615,0.430769231
MilkP HR,0,1,0,0,0,0,0
MilkP MR,0,0.571428571,0,0,0,0,0.428571429
MilkP NR,0.26440678,0.266101695,0.027118644,0.028813559,0.03220339,0.006779661,0.374576271
MilkC KR,0.265973254,0.261515602,0.029717682,0.026745914,0.028231798,0.007429421,0.38038633
MilkC NR,0.166666667,0.388888889,0,0,0,0,0.444444444
MilkC LR,0,0.555555556,0.222222222,0,0,0,0.222222222
MilkC MR,1,0,0,0,0,0,0
curd KR,0.291457286,0.203517588,0.032663317,0.027638191,0.020100503,0.010050251,0.414572864
curd NR,0.214912281,0.381578947,0.035087719,0.01754386,0.01754386,0,0.333333333
curd LR,0.246575342,0.260273973,0,0.04109589,0.095890411,0.01369863,0.342465753
curd MR,0,0.5,0.5,0,0,0,0
coffee KR,0.278293135,0.257884972,0.029684601,0.025974026,0.027829314,0.005565863,0.374768089
coffee NR,0.170940171,0.307692308,0.042735043,0.017094017,0.034188034,0.008547009,0.418803419
coffee LR,0.302325581,0.302325581,0,0.046511628,0,0.023255814,0.325581395
coffee MR,0,0,0.5,0,0,0,0.5
tea KR,0.241477273,0.213068182,0.034090909,0.025568182,0.014204545,0.005681818,0.465909091
tea NR,0.300518135,0.274611399,0.020725389,0.010362694,0.046632124,0.010362694,0.336787565
tea LR,0.270833333,0.375,0.034722222,0.027777778,0.034722222,0.006944444,0.25
tea MR,0.083333333,0.5,0.083333333,0.25,0,0,0.083333333
beef KR,0.252836305,0.273905997,0.02917342,0.022690438,0.025931929,0.006482982,0.38897893
beef NR,0.34375,0.25,0.0625,0.046875,0.015625,0.015625,0.265625
beef LR,0.294117647,0.117647059,0,0.058823529,0.117647059,0,0.411764706
beef MR,0,0.333333333,0,0,0,0,0.666666667
chicken KR,0.32748538,0.228070175,0.01754386,0.023391813,0.029239766,0,0.374269006
chicken NR,0.246511628,0.262790698,0.03255814,0.025581395,0.03255814,0.006976744,0.393023256
chicken LR,0.210526316,0.378947368,0.052631579,0.031578947,0,0.021052632,0.305263158
chicken MR,0.2,0,0,0,0,0,0.8
mutton KR,0.296568627,0.262254902,0.031862745,0.017156863,0.014705882,0.00245098,0.375
mutton NR,0.22406639,0.253112033,0.033195021,0.041493776,0.045643154,0.012448133,0.390041494
