A/C,R,UO,N,O,U,RU,RO
housedust MR,0.357142857,0.00931677,0.01863354,0.198757764,0.350931677,0.027950311,0.037267081
housedust NR,0.219178082,0,0.04109589,0.273972603,0.452054795,0,0.01369863
housedust LR,0.304347826,0.014492754,0.02173913,0.239130435,0.398550725,0.014492754,0.007246377
housedust HR,0.418181818,0,0.012121212,0.133333333,0.345454545,0.042424242,0.048484848
cottondust MR,0.361823362,0.005698006,0.025641026,0.156695157,0.393162393,0.025641026,0.031339031
cottondust NR,0.27027027,0,0.013513514,0.310810811,0.378378378,0,0.027027027
cottondust LR,0.310734463,0.016949153,0.016949153,0.288135593,0.333333333,0.016949153,0.016949153
cottondust HR,0.416666667,0,0.010416667,0.104166667,0.34375,0.0625,0.0625
aspergilus MR,0.357142857,0.020408163,0.010204082,0.153061224,0.387755102,0.020408163,0.051020408
aspergilus NR,0.334862385,0.002293578,0.027522936,0.220183486,0.355504587,0.027522936,0.032110092
aspergilus LR,0.379310345,0.013793103,0.006896552,0.165517241,0.4,0.013793103,0.020689655
aspergilus HR,0.315789474,0,0,0.210526316,0.368421053,0.105263158,0
pollen MR,0.356725146,0.00877193,0.01754386,0.175438596,0.368421053,0.035087719,0.038011696
pollen NR,0.287128713,0.00990099,0.04950495,0.287128713,0.336633663,0,0.02970297
pollen LR,0.341040462,0.005780347,0.01734104,0.23699422,0.352601156,0.01734104,0.028901734
pollen HR,0.390243902,0,0,0.109756098,0.451219512,0.036585366,0.012195122
parthenium MR,0.362880886,0.008310249,0.019390582,0.171745152,0.362880886,0.027700831,0.047091413
parthenium NR,0.279569892,0.010752688,0.010752688,0.23655914,0.397849462,0.032258065,0.032258065
parthenium LR,0.312138728,0.005780347,0.023121387,0.271676301,0.358381503,0.01734104,0.011560694
parthenium HR,0.436619718,0,0.028169014,0.112676056,0.394366197,0.028169014,0
cockroach MR,0.337620579,0.003215434,0.025723473,0.180064309,0.38585209,0.032154341,0.035369775
cockroach NR,0.311111111,0,0.022222222,0.244444444,0.355555556,0.011111111,0.055555556
cockroach LR,0.329341317,0.005988024,0.011976048,0.245508982,0.383233533,0.011976048,0.011976048
cockroach HR,0.415384615,0.023076923,0.015384615,0.153846154,0.323076923,0.038461538,0.030769231
catdander NR,0.4,0,0,0.4,0.2,0,0
catdander LR,0.4,0,0,0,0.6,0,0
catdander KR,0.345930233,0.007267442,0.020348837,0.199127907,0.369186047,0.026162791,0.031976744
dosfur MR,0,0,0,0,1,0,0
dosfur NR,0.263157895,0,0.052631579,0.263157895,0.421052632,0,0
dosfur LR,0.272727273,0,0,0.363636364,0.181818182,0.181818182,0
dosfur KR,0.351879699,0.007518797,0.019548872,0.195488722,0.368421053,0.02406015,0.033082707
roaddust KR,0.346704871,0.007163324,0.020057307,0.199140401,0.369627507,0.025787966,0.031518625
oldpdust MR,1,0,0,0,0,0,0
oldpdust NR,0.25,0,0,0.5,0.25,0,0
oldpdust LR,0,0,0,0.5,0.5,0,0
oldpdust KR,0.347322721,0.00723589,0.020260492,0.196816208,0.370477569,0.026049204,0.031837916
PSdust MR,1,0,0,0,0,0,0
PSdust NR,0.5,0,0,0,0.5,0,0
PSdust LR,0,0,0,0,1,0,0
PSdust KR,0.346820809,0.007225434,0.020231214,0.200867052,0.367052023,0.026011561,0.031791908
MilkP NR,0.340715503,0.00681431,0.023850085,0.197614991,0.374787053,0.028960818,0.02725724
MilkP LR,0.40625,0.015625,0,0.25,0.265625,0.015625,0.046875
MilkP KR,0.342105263,0,0,0.184210526,0.394736842,0,0.078947368
MilkP MR,0.428571429,0,0,0,0.571428571,0,0
MilkP HR,0,0,0,0,1,0,0
MilkC MR,0,0,0,1,0,0,0
MilkC NR,0.352941176,0,0,0.176470588,0.470588235,0,0
MilkC LR,0.181818182,0,0,0,0.636363636,0,0.181818182
MilkC KR,0.349775785,0.007473842,0.020926756,0.201793722,0.3632287,0.02690583,0.029895366
curd MR,0,0,0,0,0.5,0,0.5
curd NR,0.297413793,0,0.017241379,0.159482759,0.474137931,0.017241379,0.034482759
curd LR,0.308823529,0.014705882,0.073529412,0.205882353,0.352941176,0.044117647,0
curd KR,0.383838384,0.01010101,0.012626263,0.222222222,0.310606061,0.027777778,0.032828283
coffee MR,0.333333333,0,0,0,0.333333333,0,0.333333333
coffee NR,0.37704918,0.008196721,0.024590164,0.163934426,0.368852459,0.016393443,0.040983607
coffee LR,0.285714286,0.023809524,0,0.214285714,0.428571429,0.047619048,0
coffee KR,0.344632768,0.005649718,0.020715631,0.207156309,0.365348399,0.026365348,0.030131827
tea MR,0.071428571,0,0,0.071428571,0.571428571,0.214285714,0.071428571
tea NR,0.307291667,0.010416667,0.036458333,0.21875,0.395833333,0.010416667,0.020833333
tea LR,0.264705882,0.007352941,0.029411765,0.139705882,0.492647059,0.029411765,0.036764706
tea KR,0.41011236,0.005617978,0.008426966,0.216292135,0.300561798,0.025280899,0.033707865
beef MR,0.666666667,0,0,0,0.333333333,0,0
beef NR,0.230769231,0.015384615,0.015384615,0.276923077,0.353846154,0.046153846,0.061538462
beef LR,0.4,0,0.066666667,0.333333333,0.133333333,0.066666667,0
beef KR,0.356097561,0.006504065,0.019512195,0.188617886,0.377235772,0.022764228,0.029268293
chicken MR,0.666666667,0,0,0.166666667,0.166666667,0,0
chicken NR,0.362997658,0.007025761,0.023419204,0.182669789,0.365339578,0.025761124,0.032786885
chicken LR,0.270833333,0.020833333,0,0.166666667,0.458333333,0.03125,0.052083333
chicken KR,0.337278107,0,0.023668639,0.26035503,0.337278107,0.023668639,0.017751479
mutton NR,0.358974359,0.012820513,0.02991453,0.162393162,0.358974359,0.042735043,0.034188034
mutton LR,0.31372549,0.019607843,0.039215686,0.137254902,0.450980392,0.019607843,0.019607843
mutton KR,0.343980344,0.002457002,0.012285012,0.228501229,0.363636364,0.017199017,0.031941032
mutton MR,0.4,0,0,0.2,0.4,0,0
mutton HR,0,0,0,0,1,0,0
egg NR,0.331683168,0.007425743,0.017326733,0.202970297,0.383663366,0.027227723,0.02970297
egg LR,0.37804878,0.012195122,0.024390244,0.170731707,0.365853659,0.024390244,0.024390244
egg KR,0.345360825,0.005154639,0.025773196,0.211340206,0.355670103,0.025773196,0.030927835
egg MR,0.5625,0,0,0.125,0.25,0,0.0625
egg HR,0.5,0,0,0,0,0,0.5
fishA MR,0.666666667,0,0,0,0,0,0.333333333
fishA NR,0.338235294,0.014705882,0.029411765,0.211764706,0.355882353,0.020588235,0.029411765
fishA LR,0.408450704,0,0,0.14084507,0.323943662,0.070422535,0.056338028
fishA KR,0.338028169,0,0.014084507,0.200704225,0.401408451,0.021126761,0.024647887
fishB MR,0.272727273,0.090909091,0,0,0.272727273,0.181818182,0.181818182
fishB NR,0.361502347,0.004694836,0.018779343,0.201877934,0.361502347,0.014084507,0.037558685
fishB LR,0.457831325,0,0.012048193,0.204819277,0.289156627,0.024096386,0.012048193
fishB KR,0.31713555,0.007672634,0.023017903,0.202046036,0.393861893,0.028132992,0.028132992
crab NR,0.327380952,0.011904762,0.029761905,0.244047619,0.333333333,0.029761905,0.023809524
crab LR,0.421052632,0.026315789,0,0.131578947,0.342105263,0.078947368,0
crab KR,0.344608879,0.00422833,0.019027484,0.190274841,0.384778013,0.021141649,0.035940803
crab MR,0.466666667,0,0,0.133333333,0.333333333,0,0.066666667
crab HR,0.25,0,0,0.25,0.5,0,0
prawns NR,0.32388664,0.004048583,0.036437247,0.20242915,0.376518219,0.020242915,0.036437247
prawns LR,0.359550562,0.011235955,0,0.179775281,0.370786517,0.06741573,0.011235955
prawns KR,0.35755814,0.00872093,0.014534884,0.200581395,0.363372093,0.020348837,0.034883721
prawns MR,0.416666667,0,0,0.25,0.333333333,0,0
prawns HR,0.333333333,0,0,0.166666667,0.5,0,0
shark NR,0.368421053,0,0.105263158,0.210526316,0.210526316,0.052631579,0.052631579
shark LR,0,0,0,0.5,0.5,0,0
shark KR,0.347119645,0.007385524,0.017725258,0.197932053,0.373707533,0.025110783,0.031019202
avaraikai NR,0.336099585,0.012448133,0.012448133,0.195020747,0.373443983,0.029045643,0.041493776
avaraikai LR,0.377358491,0,0,0.132075472,0.452830189,0,0.037735849
avaraikai KR,0.345959596,0.005050505,0.027777778,0.214646465,0.353535354,0.027777778,0.025252525
avaraikai MR,0.428571429,0,0,0,0.571428571,0,0
avaraikai HR,1,0,0,0,0,0,0
banana MR,0,0,0,0,1,0,0
banana NR,0.386554622,0,0.016806723,0.159663866,0.378151261,0.025210084,0.033613445
banana LR,0.173913043,0,0.043478261,0.217391304,0.434782609,0.043478261,0.086956522
banana KR,0.345945946,0.009009009,0.01981982,0.207207207,0.363963964,0.025225225,0.028828829
beans MR,0.333333333,0,0,0.166666667,0.5,0,0
beans NR,0.364779874,0.008385744,0.014675052,0.203354298,0.34591195,0.031446541,0.031446541
beans LR,0.291262136,0.009708738,0.019417476,0.106796117,0.504854369,0.019417476,0.048543689
beans KR,0.321428571,0,0.044642857,0.267857143,0.339285714,0.008928571,0.017857143
beetroot MR,0.6,0,0,0,0.4,0,0
beetroot NR,0.337777778,0.004444444,0.035555556,0.168888889,0.4,0.035555556,0.017777778
beetroot LR,0.232876712,0,0.01369863,0.232876712,0.452054795,0,0.068493151
beetroot KR,0.369620253,0.010126582,0.012658228,0.212658228,0.336708861,0.025316456,0.032911392
brinjal NR,0.384196185,0.008174387,0.024523161,0.209809264,0.316076294,0.027247956,0.029972752
brinjal LR,0.361581921,0.005649718,0.011299435,0.18079096,0.355932203,0.04519774,0.039548023
brinjal KR,0.231884058,0.007246377,0.02173913,0.195652174,0.514492754,0,0.028985507
brinjal MR,0.266666667,0,0,0.2,0.533333333,0,0
brinjal HR,1,0,0,0,0,0,0
cabbage MR,0.4,0,0,0,0.6,0,0
cabbage NR,0.322033898,0.008474576,0.016949153,0.203389831,0.395480226,0.028248588,0.025423729
cabbage LR,0.423728814,0,0.016949153,0.152542373,0.355932203,0.016949153,0.033898305
cabbage KR,0.360714286,0.007142857,0.025,0.207142857,0.335714286,0.025,0.039285714
capsicum NR,0.328767123,0,0.01369863,0.232876712,0.369863014,0.04109589,0.01369863
capsicum LR,0.25,0,0,0.25,0.25,0,0.25
capsicum KR,0.349436393,0.00805153,0.020933977,0.194847021,0.37037037,0.024154589,0.032206119
chillie MR,1,0,0,0,0,0,0
chillie NR,0.365853659,0,0.024390244,0.170731707,0.390243902,0.024390244,0.024390244
chillie LR,0,0,0,0,1,0,0
chillie KR,0.345565749,0.00764526,0.019877676,0.201834862,0.366972477,0.025993884,0.032110092
cauliflower MR,0,0,0,0.5,0.5,0,0
cauliflower NR,0.352941176,0.011764706,0.005882353,0.2,0.4,0.017647059,0.011764706
cauliflower LR,0.323529412,0,0.029411765,0.147058824,0.470588235,0.029411765,0
cauliflower KR,0.348979592,0.006122449,0.024489796,0.2,0.351020408,0.028571429,0.040816327
carrot MR,0,0,0,0,1,0,0
carrot NR,0.363809524,0.007619048,0.019047619,0.188571429,0.363809524,0.026666667,0.03047619
carrot LR,0.279069767,0,0.011627907,0.197674419,0.430232558,0.046511628,0.034883721
