A/C,RU,R,N,O,U,UO,RO
housedust NR,0.090909091,0.121212121,0.151515152,0.212121212,0.181818182,0.060606061,0.181818182
housedust MR,0.146953405,0.168458781,0.193548387,0.111111111,0.139784946,0.132616487,0.107526882
housedust HR,0.164912281,0.119298246,0.105263158,0.143859649,0.126315789,0.164912281,0.175438596
housedust LR,0.090909091,0.159090909,0.090909091,0.193181818,0.181818182,0.170454545,0.113636364
cottondust NR,0.086956522,0.184782609,0.092391304,0.190217391,0.14673913,0.108695652,0.190217391
cottondust MR,0.151515152,0.136363636,0.15530303,0.140151515,0.140151515,0.109848485,0.166666667
cottondust HR,0.20661157,0.090909091,0.099173554,0.107438017,0.173553719,0.26446281,0.05785124
cottondust LR,0.140939597,0.147651007,0.214765101,0.120805369,0.120805369,0.147651007,0.10738255
aspergilus MR,0.1875,0.1375,0.175,0.129166667,0.133333333,0.120833333,0.116666667
aspergilus KR,0.222222222,0.222222222,0.222222222,0,0,0.333333333,0
aspergilus LR,0.130434783,0.144927536,0.086956522,0.130434783,0.195652174,0.130434783,0.18115942
aspergilus NR,0.090909091,0.156565657,0.176767677,0.126262626,0.136363636,0.196969697,0.116161616
aspergilus HR,0.142857143,0.127819549,0.082706767,0.218045113,0.127819549,0.105263158,0.195488722
pollen MR,0.13803681,0.119631902,0.147239264,0.134969325,0.165644172,0.144171779,0.150306748
pollen LR,0.126436782,0.183908046,0.16091954,0.103448276,0.149425287,0.172413793,0.103448276
pollen KR,0,0.5,0,0.5,0,0,0
pollen NR,0.068965517,0.206896552,0.206896552,0.224137931,0.103448276,0.086206897,0.103448276
pollen HR,0.171428571,0.142857143,0.114285714,0.146938776,0.12244898,0.146938776,0.155102041
parthenium MR,0.112781955,0.161654135,0.15037594,0.135338346,0.180451128,0.139097744,0.120300752
parthenium KR,0,0,0,1,0,0,0
parthenium LR,0.172413793,0.137931034,0.25862069,0.155172414,0.137931034,0.086206897,0.051724138
parthenium NR,0.103448276,0.206896552,0.068965517,0.068965517,0.172413793,0.24137931,0.137931034
parthenium HR,0.162087912,0.126373626,0.123626374,0.151098901,0.115384615,0.148351648,0.173076923
cockroach MR,0.14,0.168,0.104,0.164,0.152,0.14,0.132
cockroach KR,0,0,0,1,0,0,0
cockroach LR,0.188405797,0.115942029,0.043478261,0.231884058,0.173913043,0.101449275,0.144927536
cockroach NR,0.066666667,0.15,0.133333333,0.116666667,0.166666667,0.216666667,0.15
cockroach HR,0.147928994,0.130177515,0.192307692,0.112426036,0.127218935,0.142011834,0.147928994
cat dander MR,0,0.5,0,0,0.5,0,0
cat dander LR,0.333333333,0.166666667,0,0.333333333,0,0,0.166666667
cat dander KR,0.145645646,0.141141141,0.15015015,0.145645646,0.142642643,0.142642643,0.132132132
cat dander NR,0.076923077,0.179487179,0.051282051,0.076923077,0.128205128,0.205128205,0.282051282
cat dander HR,0,0,0,0.2,0.4,0,0.4
dos fur MR,0.111111111,0.074074074,0,0.222222222,0.222222222,0.037037037,0.333333333
dos fur LR,0.176470588,0.058823529,0.058823529,0.058823529,0.029411765,0.323529412,0.294117647
dos fur KR,0.136655949,0.154340836,0.147909968,0.146302251,0.146302251,0.1414791,0.127009646
dos fur NR,0.214285714,0.107142857,0.214285714,0.142857143,0.142857143,0.035714286,0.142857143
dos fur HR,0.285714286,0,0.285714286,0,0.142857143,0.285714286,0
Milk(P) MR,0.108108108,0.162162162,0,0.108108108,0.162162162,0.243243243,0.216216216
Milk(P) LR,0.188405797,0.130434783,0.086956522,0.115942029,0.217391304,0.144927536,0.115942029
Milk(P) KR,0.07751938,0.093023256,0.472868217,0.069767442,0.031007752,0.178294574,0.07751938
Milk(P) NR,0.155925156,0.158004158,0.072765073,0.168399168,0.162162162,0.126819127,0.155925156
Milk(P) HR,0,0,0,0.5,0,0,0.5
Milk( C ) MR,0.5,0,0,0,0.125,0,0.375
Milk( C ) LR,0.058823529,0.058823529,0.117647059,0.176470588,0.058823529,0.411764706,0.117647059
Milk( C ) KR,0.136923077,0.149230769,0.153846154,0.14,0.144615385,0.133846154,0.141538462
Milk( C ) NR,0.170731707,0.12195122,0,0.195121951,0.170731707,0.219512195,0.12195122
Milk( C ) HR,0.5,0,0,0.5,0,0,0
curd MR,0.214285714,0.023809524,0.023809524,0.30952381,0.166666667,0.119047619,0.142857143
curd LR,0.194444444,0.138888889,0.111111111,0.152777778,0.194444444,0.138888889,0.069444444
curd KR,0.142348754,0.131672598,0.224199288,0.120996441,0.110320285,0.128113879,0.142348754
curd NR,0.119122257,0.166144201,0.094043887,0.141065831,0.156739812,0.163009404,0.159874608
curd HR,0.25,0.5,0,0,0.25,0,0
coffee MR,0.115384615,0.192307692,0.038461538,0.307692308,0.038461538,0.269230769,0.038461538
coffee KR,0.139534884,0.143410853,0.186046512,0.124031008,0.13372093,0.137596899,0.135658915
coffee LR,0.287878788,0.106060606,0.03030303,0.151515152,0.196969697,0.181818182,0.045454545
coffee NR,0.068627451,0.147058824,0.029411765,0.166666667,0.18627451,0.12745098,0.274509804
coffee HR,0.125,0.25,0,0.5,0.125,0,0
tea MR,0.074626866,0.223880597,0.029850746,0.089552239,0.194029851,0.149253731,0.23880597
tea LR,0.205607477,0.130841121,0.08411215,0.168224299,0.14953271,0.065420561,0.196261682
tea KR,0.141361257,0.136125654,0.206806283,0.128272251,0.12565445,0.141361257,0.120418848
tea NR,0.14516129,0.153225806,0.088709677,0.153225806,0.169354839,0.161290323,0.129032258
tea HR,0.078947368,0.078947368,0.026315789,0.289473684,0.131578947,0.315789474,0.078947368
beef NR,0.210526316,0.175438596,0.035087719,0.192982456,0.228070175,0.070175439,0.087719298
beef MR,0,0,0.25,0.166666667,0.083333333,0.25,0.25
beef LR,0.047619048,0.142857143,0.142857143,0.095238095,0.142857143,0.285714286,0.142857143
beef KR,0.141719745,0.143312102,0.149681529,0.140127389,0.136942675,0.143312102,0.144904459
chicken MR,0.169491525,0.13559322,0.033898305,0.152542373,0.186440678,0.152542373,0.169491525
chicken KR,0.102473498,0.123674912,0.265017668,0.151943463,0.130742049,0.137809187,0.088339223
chicken LR,0.212962963,0.101851852,0.064814815,0.12962963,0.194444444,0.092592593,0.203703704
chicken NR,0.152941176,0.192156863,0.062745098,0.145098039,0.121568627,0.164705882,0.160784314
chicken HR,0.076923077,0,0.153846154,0,0.230769231,0.230769231,0.307692308
mutton MR,0.206349206,0.19047619,0.095238095,0.142857143,0.079365079,0.222222222,0.063492063
mutton LR,0.148648649,0.162162162,0.027027027,0.121621622,0.175675676,0.189189189,0.175675676
mutton KR,0.118309859,0.152112676,0.214084507,0.132394366,0.126760563,0.126760563,0.129577465
mutton NR,0.163461538,0.115384615,0.076923077,0.173076923,0.168269231,0.144230769,0.158653846
mutton HR,0.111111111,0.055555556,0.111111111,0.111111111,0.277777778,0,0.333333333
egg MR,0.146666667,0.133333333,0,0.133333333,0.146666667,0.28,0.16
egg KR,0.111111111,0.106837607,0.286324786,0.14957265,0.14957265,0.081196581,0.115384615
egg LR,0.142857143,0.119047619,0.095238095,0.19047619,0.166666667,0.19047619,0.095238095
egg NR,0.169329073,0.182108626,0.076677316,0.130990415,0.127795527,0.146964856,0.166134185
egg HR,0,0.083333333,0.25,0.083333333,0.25,0.083333333,0.25
fish1 MR,0.151515152,0.106060606,0.166666667,0.181818182,0.151515152,0.136363636,0.106060606
fish1 KR,0.093632959,0.108614232,0.269662921,0.146067416,0.134831461,0.116104869,0.131086142
